3640	0	69	43
3638	505	53	28
3639	872	5	5
3630	921	3	3
3631	952	3	3
3632	983	44	31
3633	1314	23	17
3634	1489	28	17
3635	1681	22	20
3636	1844	2	2
3637	1863	17	17
3650	1984	48	25
3651	2294	356	192
3649	4583	73	32
1	5068	27688	310
2	122952	24707	740
3	228360	608	326
4	232213	603	284
5	235773	2401	723
6	249378	4209	1099
7	273153	2701	639
8	288487	3748	1191
3641	309861	9	6
9	309938	1780	341
3642	319592	2	2
3643	319611	3	3
3644	319643	302	148
3645	321535	2	2
3646	321554	2	2
3647	321573	36	29
3648	321847	2	2
3660	321866	28	11
3661	322063	2	2
3662	322082	105	65
3652	322790	37	8
3653	322985	2	2
3654	323004	2	2
3655	323023	87	36
3656	323608	3	3
3657	323640	30	28
3658	323857	85	45
3659	324444	5	5
3670	324493	16	16
3671	324622	50	37
3672	325004	61	52
3673	325416	33	22
3663	325639	2	2
3664	325658	2	2
3665	325677	2	2
3666	325696	17	11
3667	325835	2	2
3668	325854	3	3
3669	325886	2	2
3680	325905	30	17
3681	326100	25	14
3682	326299	160	70
3683	327304	11	9
3684	327403	3	3
3674	327430	20	12
3675	327579	151	81
3676	328591	6	6
3677	328650	201	76
3678	329980	93	53
3679	330649	73	25
3690	331122	2	2
3691	331141	13	7
3692	331238	2	2
3693	331257	74	47
3694	331794	20	16
3695	331940	4	4
3685	331980	5	5
3686	332031	89	45
3687	332617	7	3
3688	332669	2	2
3689	332688	5	4
3696	332735	2	2
3697	332754	3	3
3698	332786	58	53
3699	333215	24	24
114103	333432	2	2
114104	333455	2	2
114105	333478	2	2
114106	333501	2	2
114107	333524	2	2
114108	333547	2	2
114109	333570	2	2
36407	333593	7	7
36408	333650	7	7
36409	333707	13	11
114110	333811	2	2
114111	333834	2	2
114112	333857	2	2
114113	333880	2	2
36400	333903	11	10
36401	333992	8	8
36402	334058	15	13
36403	334176	7	7
36404	334233	9	8
36405	334306	7	7
36406	334363	7	7
114100	334420	2	1
114101	334443	1	1
114102	334461	2	2
114147	334484	2	2
114148	334509	1	1
114149	334525	1	1
114150	334541	1	1
114151	334557	1	1
114152	334573	1	1
114153	334589	3	1
114154	334616	2	1
114155	334640	1	1
114156	334657	3	1
114157	334684	1	1
114136	334701	3	3
114137	334730	3	3
114138	334761	2	2
114139	334784	1	1
114140	334801	1	1
114141	334818	1	1
114142	334835	1	1
114143	334852	1	1
114144	334869	1	1
114145	334885	1	1
114146	334901	1	1
114125	334917	2	2
114126	334940	2	2
114127	334963	2	2
114128	334986	2	2
114129	335009	2	2
114130	335032	3	3
114131	335061	3	3
114132	335090	2	2
114133	335113	2	2
114134	335136	2	2
114135	335159	2	2
114114	335182	2	2
114115	335205	2	2
114116	335228	2	2
114117	335251	3	3
114118	335280	3	3
114119	335309	3	3
114120	335338	3	3
114121	335367	2	2
114122	335390	2	2
114123	335413	2	2
114124	335436	2	2
36360	335459	7	5
36361	335518	9	7
36362	335596	239	7
36363	336606	4	4
36364	336640	9	7
61320	336699	3	2
36365	336730	21	7
61321	336860	1	1
61322	336876	1	1
61323	336892	1	1
61324	336908	1	1
61325	336924	2	1
61326	336944	1383	2
61327	342572	2	2
61328	342595	2	2
61329	342618	2	2
61319	342641	1	1
114073	342657	4	2
114074	342693	2	1
114075	342715	1	1
114076	342733	1	1
75970	342751	2	2
114077	342773	1	1
75971	342791	2	2
114078	342813	1	1
75972	342831	2	2
114079	342853	1	1
75973	342871	2	2
36366	342893	7	7
75974	342943	2	2
36367	342965	7	7
75975	343017	2	2
36368	343039	7	7
75976	343091	2	2
36369	343113	7	7
75977	343170	2	2
75978	343192	8	6
75979	343254	2	2
